TaskID,ArrivalTime,CPURequired,MemoryRequired,Deadline,StartTime,CompletionTime,WaitTime,Status
1,49,2,1,56,49,51,0,COMPLETED
2,93,2,3,98,93,95,0,COMPLETED
3,95,9,4,117,95,104,0,COMPLETED
5,104,3,3,114,104,107,0,COMPLETED
4,104,7,2,130,107,114,3,COMPLETED
6,111,10,2,147,114,124,3,COMPLETED
7,115,2,2,124,124,126,9,MISSED_DEADLINE
8,145,9,3,171,145,154,0,COMPLETED
9,167,10,4,206,167,177,0,COMPLETED
10,208,1,1,212,208,209,0,COMPLETED
11,220,2,3,229,220,222,0,COMPLETED
13,259,6,1,282,259,265,0,COMPLETED
16,292,6,1,311,303,309,11,COMPLETED
17,335,3,3,346,335,338,0,COMPLETED
18,353,7,3,372,353,360,0,COMPLETED
19,368,1,1,371,368,369,0,COMPLETED
20,407,3,1,420,407,410,0,COMPLETED
21,417,8,4,449,417,425,0,COMPLETED
22,420,7,1,452,425,432,5,COMPLETED
23,463,4,1,476,463,467,0,COMPLETED
24,478,7,3,506,478,485,0,COMPLETED
25,492,5,2,516,492,497,0,COMPLETED
26,528,8,3,563,528,536,0,COMPLETED
27,541,6,3,557,541,547,0,COMPLETED
28,542,3,1,554,547,550,5,COMPLETED
29,566,6,3,583,566,572,0,COMPLETED
30,578,6,4,596,578,584,0,COMPLETED
31,626,3,3,640,626,629,0,COMPLETED
33,696,2,2,705,696,698,0,COMPLETED
35,769,3,3,776,769,772,0,COMPLETED
37,837,3,3,846,837,840,0,COMPLETED
39,882,4,1,894,882,886,0,COMPLETED
40,931,7,2,953,931,938,0,COMPLETED
42,963,1,2,967,963,964,0,COMPLETED
43,995,2,3,1002,995,997,0,COMPLETED
44,1045,6,3,1071,1045,1051,0,COMPLETED
45,1063,8,4,1092,1063,1071,0,COMPLETED
46,1095,4,3,1105,1095,1099,0,COMPLETED
47,1135,4,3,1151,1135,1139,0,COMPLETED
48,1137,4,3,1147,1139,1143,2,COMPLETED
50,1181,4,2,1200,1188,1192,7,COMPLETED
51,1223,4,3,1235,1223,1227,0,COMPLETED
54,1290,10,4,1337,1300,1310,10,COMPLETED
55,1335,4,2,1352,1335,1339,0,COMPLETED
58,1462,6,1,1478,1462,1468,0,COMPLETED
60,1536,5,3,1551,1536,1541,0,COMPLETED
61,1544,3,2,1552,1544,1547,0,COMPLETED
62,1582,8,4,1615,1582,1590,0,COMPLETED
63,1597,1,3,1601,1597,1598,0,COMPLETED
64,1610,6,4,1630,1610,1616,0,COMPLETED
66,1659,7,2,1679,1659,1666,0,COMPLETED
67,1670,3,3,1683,1670,1673,0,COMPLETED
68,1702,10,4,1750,1702,1712,0,COMPLETED
70,1763,6,4,1792,1763,1769,0,COMPLETED
71,1812,3,2,1820,1812,1815,0,COMPLETED
72,1855,5,1,1874,1855,1860,0,COMPLETED
74,1879,7,4,1898,1890,1897,11,COMPLETED
75,1891,9,2,1932,1897,1906,6,COMPLETED
76,1926,8,2,1951,1926,1934,0,COMPLETED
77,1941,9,2,1977,1941,1950,0,COMPLETED
78,1987,1,3,1991,1987,1988,0,COMPLETED
79,1996,8,2,2017,1996,2004,0,COMPLETED
80,2041,1,2,2043,2041,2042,0,COMPLETED
81,2063,1,2,2065,2063,2064,0,COMPLETED
82,2090,9,3,2113,2090,2099,0,COMPLETED
83,2102,9,2,2136,2102,2111,0,COMPLETED
84,2108,9,4,2135,2111,2120,3,COMPLETED
85,2157,1,4,2159,2157,2158,0,COMPLETED
86,2184,7,3,2214,2184,2191,0,COMPLETED
88,2230,5,2,2243,2230,2235,0,COMPLETED
89,2242,10,1,2277,2242,2252,0,COMPLETED
90,2277,1,1,2279,2277,2278,0,COMPLETED
91,2299,6,1,2316,2299,2305,0,COMPLETED
92,2332,7,4,2362,2332,2339,0,COMPLETED
93,2365,7,3,2383,2365,2372,0,COMPLETED
94,2377,2,4,2382,2377,2379,0,COMPLETED
95,2394,1,1,2397,2394,2395,0,COMPLETED
96,2437,2,2,2442,2437,2439,0,COMPLETED
98,2497,1,3,2501,2497,2498,0,COMPLETED
99,2542,4,1,2561,2542,2546,0,COMPLETED
103,2656,5,4,2678,2656,2661,0,COMPLETED
104,2704,9,4,2746,2704,2713,0,COMPLETED
105,2714,1,1,2717,2714,2715,0,COMPLETED
106,2714,7,3,2732,2715,2722,1,COMPLETED
107,2747,9,3,2777,2747,2756,0,COMPLETED
108,2788,5,1,2809,2788,2793,0,COMPLETED
110,2845,6,1,2871,2845,2851,0,COMPLETED
111,2873,10,3,2901,2873,2883,0,COMPLETED
112,2891,6,2,2919,2891,2897,0,COMPLETED
113,2919,5,3,2940,2919,2924,0,COMPLETED
114,2957,4,4,2972,2957,2961,0,COMPLETED
115,2982,4,2,2992,2982,2986,0,COMPLETED
116,3001,10,4,3028,3001,3011,0,COMPLETED
118,3048,1,2,3051,3048,3049,0,COMPLETED
119,3078,7,1,3112,3078,3085,0,COMPLETED
120,3118,2,1,3125,3118,3120,0,COMPLETED
122,3212,8,1,3234,3212,3220,0,COMPLETED
124,3251,3,1,3264,3262,3265,11,MISSED_DEADLINE
125,3296,1,3,3299,3296,3297,0,COMPLETED
126,3346,9,2,3386,3346,3355,0,COMPLETED
128,3377,5,4,3396,3377,3382,0,COMPLETED
